# Berlekamp #322 deployment ε table (target 128-bit)

Two codim conjectures:
  - codim_opt = 2(D - w'_min - 1)  [Note 0114, distinct-extras case]
  - codim_worst = 2(c - 1)         [Note 0116, shared-extras worst case]
ε bits = codim · log2(|F|), poly factor ignored.

| field | F_b | n_log | ρ | D | c | T | w'_min | codim_opt | ε_opt | codim_w | ε_worst | verdict |
| KoalaBear-ext6 | 186 | 2^12 | 1/2 | 2048 | 6 | 682 | 585 | 2924 | 543665 | 10 | 1859 | OK (1859b) (worst) |
| KoalaBear-ext6 | 186 | 2^12 | 1/2 | 2048 | 9 | 455 | 409 | 3276 | 609114 | 16 | 2975 | OK (2975b) (worst) |
| KoalaBear-ext6 | 186 | 2^12 | 1/4 | 3072 | 3 | 2047 | 1535 | 3072 | 571183 | 4 | 744 | OK (744b) (worst) |
| KoalaBear-ext6 | 186 | 2^12 | 1/4 | 3072 | 4 | 1535 | 1228 | 3686 | 685346 | 6 | 1116 | OK (1116b) (worst) |
| KoalaBear-ext6 | 186 | 2^12 | 1/4 | 3072 | 6 | 1023 | 877 | 4388 | 815870 | 10 | 1859 | OK (1859b) (worst) |
| KoalaBear-ext6 | 186 | 2^12 | 1/4 | 3072 | 9 | 682 | 614 | 4914 | 913670 | 16 | 2975 | OK (2975b) (worst) |
| KoalaBear-ext6 | 186 | 2^12 | 1/8 | 3584 | 3 | 2389 | 1791 | 3584 | 666381 | 4 | 744 | OK (744b) (worst) |
| KoalaBear-ext6 | 186 | 2^12 | 1/8 | 3584 | 4 | 1791 | 1433 | 4300 | 799508 | 6 | 1116 | OK (1116b) (worst) |
| KoalaBear-ext6 | 186 | 2^12 | 1/8 | 3584 | 6 | 1194 | 1023 | 5120 | 951972 | 10 | 1859 | OK (1859b) (worst) |
| KoalaBear-ext6 | 186 | 2^12 | 1/8 | 3584 | 9 | 796 | 716 | 5734 | 1066135 | 16 | 2975 | OK (2975b) (worst) |
| KoalaBear-ext6 | 186 | 2^14 | 1/2 | 8192 | 3 | 5461 | 4095 | 8192 | 1523156 | 4 | 744 | OK (744b) (worst) |
| KoalaBear-ext6 | 186 | 2^14 | 1/2 | 8192 | 4 | 4095 | 3276 | 9830 | 1827713 | 6 | 1116 | OK (1116b) (worst) |
| KoalaBear-ext6 | 186 | 2^14 | 1/2 | 8192 | 6 | 2730 | 2340 | 11702 | 2175778 | 10 | 1859 | OK (1859b) (worst) |
| KoalaBear-ext6 | 186 | 2^14 | 1/2 | 8192 | 9 | 1820 | 1638 | 13106 | 2436826 | 16 | 2975 | OK (2975b) (worst) |
| KoalaBear-ext6 | 186 | 2^14 | 1/4 | 12288 | 3 | 8191 | 6143 | 12288 | 2284734 | 4 | 744 | OK (744b) (worst) |
| KoalaBear-ext6 | 186 | 2^14 | 1/4 | 12288 | 4 | 6143 | 4915 | 14744 | 2741383 | 6 | 1116 | OK (1116b) (worst) |
| KoalaBear-ext6 | 186 | 2^14 | 1/4 | 12288 | 6 | 4095 | 3510 | 17554 | 3263852 | 10 | 1859 | OK (1859b) (worst) |
| KoalaBear-ext6 | 186 | 2^14 | 1/4 | 12288 | 9 | 2730 | 2457 | 19660 | 3655425 | 16 | 2975 | OK (2975b) (worst) |
| KoalaBear-ext6 | 186 | 2^14 | 1/8 | 14336 | 3 | 9557 | 7167 | 14336 | 2665523 | 4 | 744 | OK (744b) (worst) |
| KoalaBear-ext6 | 186 | 2^14 | 1/8 | 14336 | 4 | 7167 | 5734 | 17202 | 3198404 | 6 | 1116 | OK (1116b) (worst) |
